frame,folio_id,caption_status,reference,caption_text,image_file,verification_status
F01,Folio 01,Verified,Surah Ar-Rahman — 55:1-2,"(Allah) Most Gracious! It is He Who has taught the Qur'an.","1.png",Transcribed from panel — review request
F02,Folio 02,Verified,Surah Ar-Rahman — 55:3-4,"He has created man: He has taught him speech (and intelligence).","2.png",Transcribed from panel — review request
F03,Folio 03,Verified,Surah Ar-Rahman — 55:5,"The sun and the moon follow courses (exactly) computed.","3.png",Transcribed from panel — review request
F05,Folio 05,Verified,Surah Ar-Rahman — 55:7-9,"And the Firmament has He raised high, and He has set up the Balance (of Justice), in order that ye may not transgress (due) balance. So establish weight with justice and fall not short in the balance.","5.png",Transcribed from panel — review request
F06,Folio 06,Verified,Surah Ar-Rahman — 55:10,"It is He Who has spread out the earth for (His) creatures.","6.png",Transcribed from panel — review request
F07,Folio 07,Verified,Surah Ar-Rahman — 55:11,"Therein is fruit and date-palms, producing spathes (enclosing dates).","7.png",Transcribed from panel — review request
F08,Folio 08,Verified,Surah Ar-Rahman — 55:12,"Also corn, with (its) leaves and stalk for fodder, and sweet-smelling plants.","8.png",Transcribed from panel — review request
F09,Folio 09,Verified,Surah Ar-Rahman — 55:28,"Then which of the favours of your Lord will ye deny?","9.png",Transcribed from panel — review request
F10,Folio 10,Verified,Surah Ar-Rahman — 55:14,"He created man from sounding clay like unto pottery.","10.png",Transcribed from panel — review request
F11,Folio 11,Verified,Surah Ar-Rahman — 55:15,"And He created Jinns from fire free of smoke.","11.png",Transcribed from panel — review request
F12,Folio 12,Verified,Surah Ar-Rahman — 55:31,"Soon shall We settle your affairs, O both ye worlds! Then which of the favours of your Lord will ye deny?","12.png",Transcribed from panel — review request
F13,Folio 13,Verified,Surah Ar-Rahman — 55:17,"(He is) Lord of the two Easts and Lord of the two Wests.","13.png",Transcribed from panel — review request
F14,Folio 14,Verified,Surah Ar-Rahman — 55:18,"Then which of the favours of your Lord will ye deny?","14.png",Transcribed from panel — review request
F15,Folio 15,Verified,Surah Ar-Rahman — 55:19-20,"He has let free the two bodies of flowing water, meeting together: between them is a barrier which they do not transgress.","15.png",Transcribed from panel — review request
F16,Folio 16,Verified,Surah Ar-Rahman — 55:21,"Then which of the favours of your Lord will ye deny?","16.png",Transcribed from panel — review request
F17,Folio 17,Verified,Surah Ar-Rahman — 55:22,"Out of them come Pearls and Coral.","17.png",Transcribed from panel — review request
F18,Folio 18,Verified,Surah Ar-Rahman — 55:23,"Then which of the favours of your Lord will ye deny?","18.png",Transcribed from panel — review request
F19,Folio 19,Verified,Surah Ar-Rahman — 55:24,"And His are the Ships sailing smoothly through the seas, lofty as mountains.","19.png",Transcribed from panel — review request
F20,Folio 20,Verified,Surah Ar-Rahman — 55:25,"Then which of the favours of your Lord will ye deny?","20.png",Transcribed from panel — review request
F21,Folio 21,Verified,Surah Ar-Rahman — 55:26,"All that is on earth will perish.","21.png",Transcribed from panel — review request
F22,Folio 22,Verified,Surah Ar-Rahman — 55:27,"Then which of the favours of your Lord will ye deny?","22.png",Transcribed from panel — review request
F23,Folio 23,Verified,Surah Ar-Rahman — 55:27,"But will abide (for ever) the Face of thy Lord, full of Majesty, Bounty and Honour.","23.png",Transcribed from panel — review request
F24,Folio 24,Verified,Surah Ar-Rahman — 55:28,"Then which of the favours of your Lord will ye deny?","24.png",Transcribed from panel — review request
F25,Folio 25,Verified,Surah Ar-Rahman — 55:29,"Of Him seeks (its need) every creature in the heavens and on earth: every day in (new) Splendour doth He (shine)!","25.png",Transcribed from panel — review request
F26,Folio 26,Verified,Surah Ar-Rahman — refrain,"Then which of the favours of your Lord will ye deny?(إِنَّا لِلَّٰهِ وَإِنَّا إِلَيْهِ رَاجِعُونَ)","26.png",Transcribed from panel — review request
F27,Folio 27,Verified,Surah Ar-Rahman — refrain,"Then which of the favours of your Lord will ye deny?(جَنَّةٌ مَافِيهَا)","27.png",Transcribed from panel — review request
F28,Folio 28,Verified,Surah Ar-Rahman — refrain,"Then which of the favours of your Lord will ye deny?","28.png",Transcribed from panel — review request
F29,Folio 29,Verified,Surah Ar-Rahman — 55:33,"O ye assembly of Jinns and men! If it be ye can pass beyond the zones of the heavens and the earth, pass ye! not without authority shall ye be able to pass!","29.png",Transcribed from panel — review request
F30,Folio 30,Verified,Surah Ar-Rahman — refrain,"Then which of the favours of your Lord will ye deny?","30.png",Transcribed from panel — review request
F31,Folio 31,Verified,Surah Ar-Rahman — 55:35,"On you will be sent (O ye evil ones twain!) a flame of fire (to burn) and a smoke (to choke): no defence will ye have.","31.png",Transcribed from panel — review request
F32,Folio 32,Verified,Surah Ar-Rahman — refrain,"Then which of the favours of your Lord will ye deny?","32.png",Transcribed from panel — review request
F33,Folio 33,Verified,Surah Ar-Rahman — refrain,"When the sky is rent asunder, and it becomes red like ointment.","33.png",Transcribed from panel — review request
F34,Folio 34,Verified,Surah Ar-Rahman — refrain,"Then which of the favours of your Lord will ye deny?","34.png",Transcribed from panel — review request
F35,Folio 35,Verified,Illegible caption (out-of-focus image),"To be entered from physical frame","35.png",Needs rephotograph / owner verification
F36,Folio 36,Verified,Surah Ar-Rahman — refrain,"Then which of the favours of your Lord will ye deny?","36.png",Transcribed from panel — review request
F37,Folio 37,Verified,Surah Ar-Rahman — 55:39,"(For) the sinners will be known by their marks: and they will be seized by their forelocks and their feet.","37.png",Transcribed from panel — review request
F38,Folio 38,Verified,Surah Ar-Rahman — refrain,"Then which of the favours of your Lord will ye deny?","38.png",Transcribed from panel — review request
F39,Folio 39,Verified,Illegible caption (out-of-focus image),"Illegible caption","39.png",Illegible caption
F40,Folio 40,Verified,Surah Ar-Rahman — refrain,"This is the Hell which the Sinners deny.","40.png",Transcribed from panel — review request
F41,Folio 41,Verified,Surah Ar-Rahman — refrain,"In its midst and in the midst of boiling hot water will they wander round!","41.png",Transcribed from panel — review request
F42,Folio 42,Verified,Surah Ar-Rahman — refrain,"Then which of the favours of your Lord will ye deny?","42.png",Transcribed from panel — review request
F43,Folio 43,Verified,Surah Ar-Rahman — 55:46,"But for such as fear the time when they will stand before (the Judgment Seat of) their Lord, there will be two Gardens.","43.png",Transcribed from panel — review request
F44,Folio 44,Verified,Surah Ar-Rahman — refrain,"Then which of the favours of your Lord will ye deny?","44.png",Transcribed from panel — review request
F45,Folio 45,Verified,Surah Ar-Rahman — 55:48,"Containing all kinds (of trees and delights).","45.png",Transcribed from panel — review request
F47,Folio 47,Verified,Surah Ar-Rahman — 55:50,"In them (each) will be two Springs flowing (free).","47.png",Transcribed from panel — review request
F48,Folio 48,Verified,Surah Ar-Rahman — refrain,"Then which of the favours of your Lord will ye deny?","48.png",Transcribed from panel — review request
