folio,surah,verse_ref,status,caption,deck_title
01,Yaseen (36),36:01,verified,"Ya Sin.","The Sacred Letters"
02,Yaseen (36),36:02,verified,"We swear by the wise Qur'an.","The Wise Qur'an"
03,Yaseen (36),36:03,verified,"Lo! thou art of those sent.","Of the Messengers"
04,Yaseen (36),36:04,verified,"On a straight path.","A Straight Path"
05,Yaseen (36),36:05,verified,"A revelation of the Mighty, the Merciful.","The Mighty, the Merciful"
06,Yaseen (36),36:06,verified,"That thou mayst warn a folk whose fathers were not warned, so they are heedless.","A Heedless Folk"
07,Yaseen (36),36:07,verified,"Already hath the judgment proved true of most of them, for they believe not.","The Word Proved True"
08,Yaseen (36),36:08,verified,"We have put on their necks carcans reaching unto the chins, so that they are stiff-necked.","Yokes to the Chin"
09,Yaseen (36),36:09,verified,"We have set a bar before them and a bar behind them, and have covered them so that they see not.","The Veil Before and Behind"
10,Yaseen (36),36:10,verified,"Whether thou warn them or warn them not, it is alike for them, for they believe not.","Warn or Not Warn"
11,Yaseen (36),36:11,verified,"Thou warnest only him who followeth the Reminder and feareth the Beneficent in secret - to him, forgiveness and a rich reward.","The Reminder's Followers"
12,Yaseen (36),36:12,verified,"We bring the dead to life, and We keep all things recorded in a clear Register.","The Clear Register"
13,Yaseen (36),36:13,verified,"Coin for them a similitude: the people of the city when the messengers came unto them.","The City's Similitude"
14,Yaseen (36),36:14,verified,"We sent unto them twain, and they denied them both, so We reinforced them with a third.","Two, Then a Third"
15,Yaseen (36),36:15,verified,"They said: Ye are but mortals like unto us; ye do but lie!","Mortals Like Ourselves"
16,Yaseen (36),36:16,verified,"They answered: Our Lord knoweth that we are indeed sent unto you.","Our Lord Knoweth"
17,Yaseen (36),36:17,verified,"And our duty is but plain conveyance of the message.","Plain Conveyance"
18,Yaseen (36),36:18,verified,"They said: We augur ill of you - if ye desist not, we shall surely stone you.","We Augur Ill of You"
19,Yaseen (36),36:19,verified,"Your evil augury be with you! Nay, but ye are froward folk!","Your Omen Be With You"
